state_abbr,county,offense,total_2023,latitude,longitude
MI,SCHOOLCRAFT,Violent Crime,33.0,46.020758,-86.199352
FL,HIGHLANDS,Property Crime,0.0,27.322466,-81.41154
KS,ROOKS,Violent Crime,8.0,39.346006,-99.324492
TN,HAWKINS,Violent Crime,260.0,36.452211,-82.931386
TX,HOWARD,Property Crime,844.0,32.25286,-101.47287
AR,ST FRANCIS,Property Crime,513.0,35.014438,-90.742138
NY,SULLIVAN,Violent Crime,161.0,41.720176,-74.76468
GA,EVANS,Property Crime,106.0,32.151902,-81.887618
KS,MIAMI,Violent Crime,92.5,38.57153,-94.878044
WV,CLAY,Property Crime,55.0,38.459826,-81.081866
ID,LEMHI,Property Crime,23.0,44.928789,-113.887841
TX,DALLAS,Property Crime,54159.5,32.81252,-96.838135
KY,METCALFE,Property Crime,35.0,36.992647,-85.63369
IL,MERCER,Violent Crime,4.0,41.200016,-90.75876
WI,LA CROSSE,Property Crime,2235.0,43.81452,-91.25082
MD,DORCHESTER,Violent Crime,147.0,38.429196,-76.047433
CO,BACA,Property Crime,19.0,37.406647,-102.61652
IA,DUBUQUE,Violent Crime,294.5,42.500935,-90.66581
VA,LOUISA,Violent Crime,40.0,37.971681,-77.959178
TX,RANDALL,Property Crime,3366.5,34.98086,-101.92753
IA,WINNESHIEK,Property Crime,31.0,43.292989,-91.850788
NM,CATRON,Violent Crime,1.0,33.901813,-108.392097
GA,ECHOLS,Violent Crime,2.0,30.7085,-82.836132
LA,ALLEN,Property Crime,57.0,30.652744,-92.819605
MS,JASPER,Property Crime,106.0,32.016989,-89.11943
ND,WALSH,Violent Crime,13.0,48.418118,-97.40549
MO,VERNON,Property Crime,598.0,37.850196,-94.341597
VA,CARROLL,Property Crime,218.0,36.731951,-80.727838
IN,SPENCER,Property Crime,1.0,37.883904,-87.04615
TX,POTTER,Violent Crime,781.0,35.21533,-101.70396
CT,GREATER BRIDGEPORT PLANNING REGION,Violent Crime,696.0,41.23494,-73.21886
MI,MARQUETTE,Property Crime,460.0,46.49176,-87.35481
AK,JUNEAU,Violent Crime,161.0,58.356556,-134.50731
TX,ARCHER,Property Crime,12.0,33.616305,-98.687267
UT,SALT LAKE,Property Crime,32854.5,40.759274,-111.84247
TX,WISE,Property Crime,845.0,33.23077,-97.6118
TX,BASTROP,Property Crime,1224.5,30.102219,-97.30746
IN,JAY,Property Crime,19.0,40.433407,-85.15029
ND,RENVILLE,Violent Crime,2.0,48.712781,-101.658152
TN,MCNAIRY,Property Crime,381.5,35.158752,-88.594795
TN,SMITH,Violent Crime,18.0,36.173046,-85.93376
FL,BREVARD,Violent Crime,757.0,28.33072,-80.723785
CO,BACA,Violent Crime,12.0,37.406647,-102.61652
NE,BANNER,Violent Crime,1.0,41.53975,-103.726263
AL,RUSSELL,Property Crime,900.5,32.289811,-85.18698
SD,JONES,Violent Crime,1.0,43.95199,-100.686139
IN,WHITE,Property Crime,0.0,40.75095,-86.864293
NY,ST LAWRENCE,Violent Crime,145.0,44.93134,-74.89285
OH,DELAWARE,Violent Crime,2635.5,40.278941,-83.007462
KY,FLEMING,Violent Crime,11.0,38.423786,-83.73422
OH,LAWRENCE,Violent Crime,43.0,38.504486,-82.64869
TX,GILLESPIE,Violent Crime,19.0,30.250408,-98.847885
OH,HIGHLAND,Property Crime,327.5,39.184488,-83.603668
MT,DANIELS,Property Crime,2.0,48.794429,-105.541739
NE,ANTELOPE,Property Crime,0.0,42.183225,-98.058037
CO,HUERFANO,Property Crime,0.0,37.62409,-104.7829
KY,CHRISTIAN,Violent Crime,177.0,36.870354,-87.486595
MO,WORTH,Violent Crime,0.0,40.480428,-94.419067
NE,DAWES,Violent Crime,16.0,42.711214,-103.134872
MN,NICOLLET,Property Crime,919.0,44.168804,-94.02725
KY,EDMONSON,Violent Crime,5.0,37.227856,-86.217778
MA,NANTUCKET,Property Crime,174.0,41.305878,-70.14191
WI,MARQUETTE,Property Crime,63.0,43.826053,-89.409095
IA,HARRISON,Property Crime,14.0,41.556393,-95.89292
IL,GRUNDY,Violent Crime,63.5,41.29241,-88.401054
TN,WAYNE,Violent Crime,14.0,35.242687,-87.819703
MS,OKTIBBEHA,Property Crime,895.0,33.46273,-88.81639
TX,MATAGORDA,Violent Crime,187.0,28.783341,-95.997755
OR,GRANT,Property Crime,2.0,44.393116,-118.949844
