state_abbr,county,latitude,longitude,total_population,poverty_universe,poverty_below,poverty_rate,no_population,total_reported_crime_Violent Crime,total_reported_crime_Property Crime,property_crime_per_100k_Property Crime,violent_crime_per_100k_Violent Crime
IN,KOSCIUSKO,41.244293,-85.861575,80357,78770,7615,0.09667386060683,false,138,770,958.223925731424,171.73363863758
IN,LAWRENCE,38.860798,-86.48569,45077,44280,4984,0.112556458897922,false,29,90,199.658362357743,64.3343612041618
CO,CLEAR CREEK,39.689403,-105.670791,9358,9282,631,0.0679810385692739,false,12,91,972.430006411626,128.232528318017
SD,HAMLIN,44.680619,-97.178598,6288,6098,402,0.0659232535257461,false,9,35,556.615776081425,143.129770992366
CA,RIVERSIDE,33.978046,-117.37402,2449909,2413439,266955,0.110611869618416,false,8167,53797,2195.87747953087,333.359320693136
AR,DREW,33.587242,-91.722778,17143,16356,3720,0.227439471753485,false,71,256,1493.32088899259,414.163215306539
HI,KAUAI,22.012038,-159.705965,73610,72848,6414,0.088046343070503,false,209,1615,2193.99538106236,283.928814019834
KY,MCCRACKEN,37.053683,-88.712366,67584,66346,10173,0.153332529466735,false,127,1117,1652.75804924242,187.914299242424
NJ,MONMOUTH,40.264107,-74.266754,643615,637240,40958,0.064274056870253,false,772,7561,1174.77063151107,119.947484132595
KY,BREATHITT,37.552784,-83.385506,13438,13230,3726,0.281632653061225,false,7,50,372.079178449174,52.0910849828844
MS,PEARL RIVER,30.842878,-89.53524,56781,55491,9120,0.164350975833919,false,85.5,613,1079.58648139342,150.578538595657
SC,SPARTANBURG,34.933239,-81.991053,338096,330155,47882,0.145028850085566,false,2041.5,8040.5,2378.17069708012,603.822582935024
TX,FRANKLIN,33.175846,-95.219066,10522,10419,1153,0.110663211440637,false,21,64.5,613.001330545524,199.581828549705
VA,ESSEX,37.93948,-76.941871,10604,10512,1628,0.154870624048706,false,30,117,1103.35722368917,282.91210863825
MN,CLEARWATER,47.575873,-95.371117,8579,8393,940,0.11199809364947,false,11,24,279.752884951626,128.220072269495
TX,MARION,32.756817,-94.34427,9631,9522,1750,0.183784919134636,false,13,87,903.332987228741,134.980791195099
OK,LOVE,33.93725,-97.11925,10196,10088,1491,0.147799365582871,false,17,161,1579.0506080816,166.732051785014
LA,WASHINGTON,30.7865,-89.86042,,,,,true,264,785,,
WV,MCDOWELL,37.756214,-81.215546,18413,16335,5054,0.309397000306091,false,21,81,439.906587736925,114.049856079944
TN,STEWART,36.511756,-87.851548,13859,13735,1648,0.119985438660357,false,24,50,360.776390792987,173.172667580634
NE,KEARNEY,40.506269,-98.948461,6697,6606,442,0.0669088707235846,false,5,43,642.078542631029,74.6602956547708
MO,RANDOLPH,39.42082,-92.43792,24524,22570,3573,0.158307487815685,false,89,238,970.477899200783,362.90980264231
IL,MCDONOUGH,40.458607,-90.67328,27102,24540,4885,0.199062754686227,false,17,120,442.771751162276,62.7259980813224
WY,LINCOLN,41.813946,-110.53512,20158,20047,1418,0.0707337756272759,false,15,61,302.609385851771,74.4121440619109
PA,BUTLER,40.706524,-79.72344,195870,190654,15175,0.0795944485822485,false,228,1038,529.943329759534,116.403737172614
KY,NELSON,37.81244,-85.46941,47102,46478,4512,0.0970781875295839,false,25,464,985.096174260116,53.0763024924632
IL,BUREAU,41.326485,-89.19818,33027,32513,4094,0.125918863223941,false,21,340.5,1030.97465709874,63.5843400853847
KS,KINGMAN,37.64223,-98.11175,7284,7146,670,0.0937587461516933,false,8,62,851.18066996156,109.829763866008
MI,KENT,43.16087,-85.71644,658844,648364,68503,0.105655156671253,false,3060,13907,2110.81834243007,464.449854593804
NE,LINCOLN,41.050322,-100.744481,34122,33324,4278,0.128375945264674,false,48,591,1732.02039739757,140.671707402849
KS,BARTON,38.481239,-98.767837,25275,24698,3640,0.14738035468459,false,93,319,1262.11671612265,367.952522255193
MO,OZARK,36.64959,-92.458549,8773,8696,1886,0.21688132474701,false,26,26,296.363843611079,296.363843611079
WV,ROANE,38.34613,-81.63015,13921,13799,2790,0.202188564388724,false,33,151,1084.6921916529,237.051935924143
OH,MUSKINGUM,39.966046,-81.943506,86382,84075,13148,0.15638418079096,false,235,1567,1814.03533143479,272.047417286009
CA,SAN DIEGO,32.955612,-117.04518,3282782,3193390,330602,0.103526972903404,false,12711,50493,1538.1161466098,387.202074338168
OR,CLACKAMAS,45.26283,-122.69416,422308,419386,31386,0.0748379774241391,false,3124,25637,6070.6877444898,739.744451916611
HI,MAUI,20.887321,-156.48763,164632,162991,15969,0.097974734801308,false,478,4456,2706.64269400846,290.344525973079
GA,HEARD,33.290968,-85.139594,11616,11434,2136,0.186811264649292,false,9,110,946.969696969697,77.4793388429752
IA,DALLAS,41.685321,-94.040707,104136,103581,6038,0.0582925439993821,false,232.5,1573.5,1511.00483982484,223.265729430744
TX,YOAKUM,33.162398,-102.832242,7589,7543,908,0.120376508020681,false,21,58,764.264066411912,276.716299907761
MO,CHARITON,39.43295,-92.9416,7406,7161,850,0.11869850579528,false,32,54.5,735.889819065622,432.082095598164
PA,CHESTER,39.959526,-75.60604,540896,527321,31305,0.0593661166538029,false,527,3371,623.225167130095,97.4309294208129
OH,GREENE,39.807583,-83.88795,168531,161157,15757,0.0977742201703929,false,269,3143,1864.93879464312,159.614551625517
NY,BRONX,40.848711,-73.852939,1419250,1388414,374138,0.269471497694492,false,0,4,0.281838999471552,0
LA,IBERIA,29.904728,-91.66978,,,,,true,4,3,,
CO,LOGAN,40.728091,-103.090464,21067,19152,2506,0.130847953216374,false,66,517,2454.07509374852,313.286182180662
NH,GRAFTON,43.926502,-71.842295,91759,85332,8640,0.10125158205597,false,101,955,1040.76984274022,110.070946719123
NM,EDDY,32.457858,-104.306471,61114,60415,7519,0.12445584705785,false,260,1476,2415.15855614098,425.434434008574
NY,FULTON,43.115609,-74.423678,52787,51814,7532,0.145366117265604,false,91,513,971.83018546233,172.390929584936
FL,CLAY,29.987115,-81.858147,223436,221079,20204,0.0913881463187367,false,556,2110,944.342003974292,248.840831379008
TX,TERRELL,30.232332,-102.072539,851,851,70,0.082256169212691,false,0,0,0,0
NE,MORRILL,41.732205,-102.990599,4544,4423,550,0.124349988695456,false,5,20,440.140845070423,110.035211267606
IN,FAYETTE,39.641346,-85.13931,23390,22914,3830,0.167146722527712,false,0,0,0,0
IA,AUDUBON,41.7217,-94.93159,5622,5485,649,0.118322698268004,false,9,20,355.745286374956,160.08537886873
SD,MCCOOK,43.678924,-97.362036,5732,5579,413,0.0740276035131744,false,4,18,314.026517794836,69.7836706210747
AR,CONWAY,35.265702,-92.689248,20872,20694,4261,0.205905093263748,false,71,441,2112.87849750862,340.168646991184
KS,OSBORNE,39.348649,-98.767876,3473,3364,419,0.124554102259215,false,10,7,201.554851713216,287.935502447452
MO,DAVIESS,39.935947,-94.06763,8449,8276,1095,0.13231029482842,false,9,73,864.00757486093,106.521481832169
PA,WESTMORELAND,40.16109,-79.882095,353345,346431,34698,0.100158473115859,false,511.5,2530,716.014093874259,144.759371152839
TX,THROCKMORTON,33.170712,-99.206137,1589,1589,222,0.139710509754563,false,1,5,314.663310258024,62.9326620516048
ND,MCKENZIE,47.742475,-103.403215,14280,14065,1801,0.12804834696054,false,42,243,1701.68067226891,294.117647058824
IA,LEE,40.59004,-91.427574,33175,31831,4151,0.130407464421476,false,93,499,1504.14468726451,280.331574981161
MN,HENNEPIN,44.947575,-93.34395,1268903,1245699,124654,0.100067512296309,false,6849,40018,3153.74776480156,539.757570121593
MN,MOWER,43.667496,-92.9736,40069,39366,4782,0.12147538484987,false,77,522,1302.75275150366,192.168509321421
IA,MADISON,41.343437,-94.01347,16760,16564,1127,0.0680391209852693,false,76.5,839,5005.96658711217,456.443914081146
IA,GUTHRIE,41.67774,-94.50237,10646,10517,982,0.0933726347817819,false,10,34,319.368777005448,93.9319932368965
IA,CLINTON,41.851048,-90.18745,46383,45382,5962,0.13137367238112,false,212,845,1821.78815514305,457.064010521096
AK,WRANGELL,56.279121,-132.040325,,,,,true,6,1,,
NC,YADKIN,36.158765,-80.665164,37419,37017,5050,0.136423805278656,false,60,418,1117.07955851306,160.346348111922
PA,WAYNE,41.647007,-75.293195,51189,47922,5845,0.121969033011978,false,49,263,513.782257906972,95.7236906366602
OH,GALLIA,38.80956,-82.20281,29162,28495,4219,0.148061063344446,false,46,232,795.55586036623,157.739524038132
FL,LAFAYETTE,29.990066,-83.17851,8035,6601,1174,0.177851840630208,false,0,0,0,0
UT,MORGAN,41.091027,-111.577885,12585,12572,214,0.017021953547566,false,4,20,158.919348430671,31.7838696861343
GA,BARROW,33.992009,-83.712303,86982,86319,8797,0.101912672760342,false,159,1163.5,1337.63307350946,182.796440642892
KS,HAMILTON,37.995244,-101.793689,2485,2475,92,0.0371717171717172,false,11,40,1609.65794768612,442.655935613682
NY,NEW YORK,40.776557,-73.970174,1627788,1578789,250056,0.158384685984004,false,6,37,2.2730232683863,0.368598367846427
NY,SUFFOLK,40.900837,-73.3474,1525680,1498692,95543,0.0637509241391827,false,804,9652,632.635939384406,52.6978134340098
IL,UNION,37.475207,-89.252808,16972,16558,3204,0.193501630631719,false,7,88,518.501060570351,41.2444025453688
OH,CLINTON,39.488464,-83.636604,42014,40731,6018,0.147749871105546,false,45.5,421.5,1003.23701623268,108.297234255248
IN,STEUBEN,41.643437,-85.002467,34648,33046,2912,0.0881195908733281,false,15,379,1093.85823135535,43.2925421380743
SD,SANBORN,44.021032,-98.092105,2370,2303,263,0.114198871037777,false,0,2,84.3881856540084,0
AR,FRANKLIN,35.508573,-93.887672,17220,16949,3197,0.188624697622279,false,73,205,1190.47619047619,423.925667828107
