Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
599,Anchorage Municipal Light and Power,AK,Municipal,158.0,164.0,1174956,118603,0,1293559,1004497,257893,0,0,31169,1293559,140727.0,0.0,21891.0,292.0,0.0,789.0,1293559,21972.0,130806.0,24555.0,118755.0,873691.0,6377.0,0.0,0.0,0.0,0.0,0.0,0.0,140727.0,1004497.0,30932.0,2015
604,City of Andalusia,AL,Municipal,58.0,47.0,0,350590,0,350590,348053,0,0,0,2537,350590,27878.0,0.0,0.0,0.0,0.0,0.0,350590,5219.0,42746.0,3615.0,8395.0,65910.0,972.0,14264.0,239397.0,2.0,0.0,0.0,0.0,27878.0,348053.0,4589.0,2015
636,City of Anderson - (IN),IN,Municipal,169.0,142.0,0,855834,0,855834,849951,0,0,0,5883,855834,83744.0,0.0,0.0,0.0,0.0,0.0,855834,39777.0,303406.0,30208.0,27424.0,323944.0,5368.0,16543.0,222601.0,49.0,0.0,0.0,0.0,83744.0,849951.0,35625.0,2015
659,American Transmission Co,WI,Transmission,11697.0,9866.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-63835.0,678038.0,1633.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
689,Connexus Energy,MN,Cooperative,496.9,355.9,0,2322669,0,2322669,1947518,294442,0,0,80709,2322669,227521.5,0.0,22033.1,0.0,0.0,0.0,2322669,147631.8,1137870.0,117666.0,67603.0,676218.0,11376.0,12286.7,133430.0,399.0,0.0,0.0,0.0,227521.5,1947518.0,129441.0,2015
690,City of Bardstown - (KY),KY,Municipal,38.9,35.8,0,201102,0,201102,195611,0,0,766,4725,201102,15451.0,0.0,0.0,0.0,0.0,0.0,201102,3904.0,46102.0,3347.0,4830.0,57716.0,1061.0,6717.0,91793.0,14.0,0.0,0.0,0.0,15451.0,195611.0,4422.0,2015
691,City of Anoka,MN,Municipal,60.9,41.2,0,283724,0,283724,277458,0,0,0,6266,283724,27747.6,0.0,0.0,0.0,0.0,300.1,283724,9234.5,73591.0,10509.0,9672.2,99188.0,1321.0,8840.9,104679.0,17.0,0.0,0.0,0.0,27747.6,277458.0,11847.0,2015
694,Anza Electric Coop Inc,CA,Cooperative,13.2,10.6,0,57077,0,57077,51249,0,0,101,5727,57077,9126.3,0.0,0.0,0.0,0.0,0.0,57077,7045.1,39944.0,4275.0,2081.2,11305.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,9126.3,51249.0,4595.0,2015
712,Arkansas River Power Authority,CO,Political Subdivision,61.4,40.5,18921,266554,0,285475,0,273922,0,0,11553,285475,0.0,0.0,28432.3,0.0,0.0,0.0,285475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
719,Town of Apex- (NC),NC,Municipal,86.5,51.5,0,312551,0,312551,292435,0,1734,9283,9099,312551,28735.9,0.0,0.0,0.0,0.0,0.0,312551,18574.6,178967.0,15365.0,10161.3,113468.0,1317.0,0.0,0.0,0.0,0.0,0.0,0.0,28735.9,292435.0,16682.0,2015
