Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
817,Arkansas Valley Elec Coop Corp,AR,Cooperative,308.5,255.4,0,1228859,0,1228859,1163998,0,0,359,64502,1228859,111546.5,0.0,0.0,0.0,0.0,4241.4,1228859,75304.7,703739.0,51735.0,15616.8,162528.0,4016.0,11874.1,212843.0,42.0,0.0,0.0,0.0,102795.6,1079110.0,55793.0,2020
817,Arkansas Valley Elec Coop Corp,AR,Cooperative,308.5,255.4,0,1228859,0,1228859,1163998,0,0,359,64502,1228859,111546.5,0.0,0.0,0.0,0.0,4241.4,1228859,6117.3,55994.0,4295.0,2633.6,28894.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,8750.9,84888.0,4813.0,2020
924,Associated Electric Coop Inc,MO,Transmission,4006.0,4369.0,23325319,5560913,0,28886232,0,27762367,0,4281,1119584,28886232,0.0,0.0,1111032.4,34535.2,0.0,0.0,28886232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
944,City of Athens - (AL),AL,Municipal,278.0,292.0,0,1275038,0,1275038,1211084,0,0,0,63954,1275038,114938.0,0.0,0.0,0.0,0.0,2447.7,1275038,65305.0,658618.0,42991.0,37682.0,352764.0,7297.0,11951.0,199702.0,13.0,0.0,0.0,0.0,114938.0,1211084.0,50301.0,2020
947,Athens Utility Board,TN,Municipal,116.0,110.0,0,649065,0,649065,628755,0,0,1111,19199,649065,47349.0,0.0,0.0,0.0,0.0,767.7,649065,15348.0,151539.0,11144.0,16077.0,146463.0,2357.0,15924.0,330753.0,8.0,0.0,0.0,0.0,47349.0,628755.0,13509.0,2020
963,Atlantic City Electric Co,NJ,Investor Owned,2489.0,1300.0,0,6187246,0,6187246,4804403,902941,0,9647,470255,6187246,827156.0,224504.1,45651.4,9632.9,132438.2,6129.0,6187246,653658.9,3596852.0,444924.0,162603.1,1070330.0,45536.0,10894.0,137221.0,371.0,0.0,0.0,0.0,827156.0,4804403.0,490831.0,2020
963,Atlantic City Electric Co,NJ,Investor Owned,2489.0,1300.0,0,6187246,0,6187246,4804403,902941,0,9647,470255,6187246,827156.0,224504.1,45651.4,9632.9,132438.2,6129.0,6187246,39417.1,432583.0,51598.0,160970.0,2618604.0,19313.0,24117.0,564384.0,312.0,0.0,0.0,0.0,224504.1,3615571.0,71223.0,2020
970,Homefield Energy,TX,Retail Power Marketer,0.0,0.0,0,7516202,0,7516202,7516202,0,0,0,0,7516202,385150.8,0.0,0.0,0.0,0.0,0.0,7516202,0.0,0.0,0.0,0.0,0.0,0.0,1604.1,19653.0,9.0,0.0,0.0,0.0,1604.1,19653.0,9.0,2020
970,Homefield Energy,TX,Retail Power Marketer,0.0,0.0,0,7516202,0,7516202,7516202,0,0,0,0,7516202,385150.8,0.0,0.0,0.0,0.0,0.0,7516202,228621.1,4215830.0,401790.0,127696.9,2600537.0,3319.0,25622.0,658320.0,86.0,1606.7,21862.0,1.0,383546.7,7496549.0,405196.0,2020
994,City of Auburn - (IN),IN,Municipal,78.2,67.0,0,411495,0,411495,400677,0,1300,0,9518,411495,38401.4,0.0,0.0,0.0,0.0,1214.0,411495,6299.2,66161.0,6620.0,2889.1,25245.0,900.0,29213.1,309271.0,154.0,0.0,0.0,0.0,38401.4,400677.0,7674.0,2020
